"","date","03010102","03010103","03010104","03010106","03010107","03010203","03010204","03010205","03020101","03020102","03020103","03020104","03020105","03020201","03020202","03020203","03020204","03030002","03030003","03030004","03030005","03030006","03030007","03040101","03040102","03040103","03040104","03040105","03040201","03040202","03040203","03040204","03040206","03050101","03050102","03050103","03050105","03050109","03060101","03060102","05050001","06010103","06010105","06010106","06010108","06010202","06010203","06010204","06020002","06020003"
"1",1906-03-17,608.4,559.4,530,626.2,626.2,626.2,626.2,626.2,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,1036.4,1090.7,530,530,1090.7,530,530,530,530,530,1090.7,1090.7,1069.7,840.6,725.8,722.1,722.6,872.4,1118.9,1158.4,737.9,737,779.7,1134.9,779.2,1068.6,1393.4
"2",1906-03-18,613.4,403.5,340.2,514.7,514.7,514.7,514.7,514.7,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,340.2,617.6,491.3,340.2,340.2,491.3,340.2,340.2,340.2,340.2,340.2,678.9,670.9,670.9,670.9,616.5,614.8,615.5,617.6,651.8,847.8,652.3,651.8,684.3,910.1,684,807.5,1247.5
"3",1906-03-19,592.8,480.2,447.4,540,540,540,540,540,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,447.4,526.2,490.3,447.4,447.4,490.3,447.4,447.4,447.4,447.4,447.4,799.1,849.1,849.1,849.1,682.7,677.3,677.7,487.6,487.5,915.7,592.3,591.5,703.2,980.3,702.5,888.2,714.7
"4",1906-03-20,289.7,292.5,293,290.9,290.9,290.9,290.9,290.9,293,293,293,293,293,293,293,293,293,293,293,293,293,293,293,561.4,439.2,293,293,439.2,293,293,293,293,293,348.5,361.4,361.4,361.4,276.2,273.5,273.9,276.5,347,351.6,364.9,325.8,353.6,495.9,353.5,411.6,350.7
"5",1906-03-21,361.5,383.6,455.9,375.6,375.6,375.6,375.6,375.6,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,511.7,565.4,541,511.7,511.7,541,511.7,511.7,511.7,511.7,511.7,466.5,426.7,426.7,426.7,340.4,337.6,634.8,422.4,535.5,566.9,488.6,474.7,506.2,665.1,500.5,567.5,514.4
"6",1906-03-22,401.7,463.9,458.1,450.3,450.3,450.3,450.3,450.3,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,458.1,976.4,740.5,458.1,458.1,740.5,458.1,458.1,458.1,458.1,458.1,643.2,643.4,643.4,643.4,700.9,702.8,1165.8,525.5,625.5,954,545.1,612.7,963.3,946.6,910.3,849.5,628.3
"7",1906-03-23,550.2,345,272,478.4,478.4,478.4,478.4,478.4,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,615.6,372.9,372.9,372.9,372.9,372.9,372.9,365,370.6,370.6,522.6,398.4,391.2,398.4,400.1,780.7,1230,751.6,655.6,753.8,590.2,570.6,992.7,935.6,949.6,957.9,709.1
"8",1906-03-24,531.8,621.8,580.1,598.9,598.9,598.9,598.9,598.9,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,580.1,739.3,635.1,635.1,635.1,635.1,635.1,635.1,630.8,633.8,633.8,746.5,769.2,635.1,815.8,817.8,1486.2,1343.7,689.8,703.9,845,746,565.9,917.1,900.7,855.3,812,655
"9",1906-03-25,455.1,517.3,382.1,485.7,485.7,485.7,485.7,485.7,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,382.1,543.3,543.2,543.2,543.2,543.2,543.2,543.2,530.7,539.5,539.5,777.5,860.4,543.2,985.1,987.8,1000,848,659.3,628,940.1,910.3,718.9,1197.6,1130.3,1107,1042.9,802.9
"10",1906-03-26,327.3,323.3,241.9,319.6,319.6,319.6,319.6,319.6,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,312.3,312.2,312.2,312.2,312.2,312.2,312.2,306.7,310.6,310.6,467.8,565.6,312.2,680.3,682.2,682.5,556.3,392.7,355.3,631.4,501.9,396.4,788.1,762.8,742.2,697.8,477.1
"11",1906-03-27,273.5,280.2,215.1,282.4,282.4,282.4,282.4,282.4,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,215.1,244.6,244.5,244.5,244.5,244.5,244.5,244.5,242.2,243.9,243.9,476.5,477.5,244.5,541.5,542.7,571.1,807.8,374.6,439.4,522.3,463,446,711.9,701.5,681.1,596.5,499.5
"12",1906-03-28,487.1,429.4,446.8,449.8,449.8,449.8,449.8,449.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,446.8,576.5,517.4,446.8,446.8,517.4,446.8,446.8,446.8,446.8,446.8,668.6,747.1,747.1,783.3,784.6,821.7,1380,493.7,517.8,738.9,621.9,568.8,1039.1,997.3,987.5,795.1,1003.3
"13",1906-03-29,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,274,274,274,274,273.7,273.7,273.7,273.7,273.7,273.7,581.7,441.5,273.7,273.7,441.5,273.7,273.7,273.7,273.7,273.7,579.9,677.8,677.8,723.1,724.5,745,632.5,444.8,495.1,682.6,603.1,503.7,811.7,838.1,884.3,695.9,829.5
"14",1906-03-30,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,285.7,285.7,285.7,285.7,285.6,285.6,285.6,285.6,285.6,285.6,482.9,393.1,285.6,285.6,393.1,285.6,285.6,285.6,285.6,285.6,356.5,440.3,440.3,479,480.4,483.3,590.5,362.9,377.2,452.9,333.1,319.4,511.4,528.4,555.6,382.7,438.2
"15",1906-03-31,386,386.1,386,386,386,386,386,386,386,386,386,386,386,421.1,421.1,421.1,421.1,421.7,421.7,421.7,421.7,421.7,421.7,673,558.6,421.7,421.7,558.6,421.7,421.7,421.7,421.7,421.7,592.6,839.4,839.4,953.7,957.3,900.1,1135.5,507.1,429.6,878.1,592.2,488.1,859.9,828,867.4,616.7,749.8
"16",1906-04-01,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,330.2,327.6,327.6,327.6,327.6,327.6,327.6,327.6,327.6,327.6,327.6,909.6,644.7,327.6,327.6,644.7,327.6,327.6,327.6,327.6,327.6,785.8,1052.5,1052.5,1176.3,1179.6,1116,1541.7,636.6,610.1,1091.4,703.1,662.6,1080.1,1029.1,1041.3,895.1,997.8
"17",1906-04-02,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,660.6,681.4,681.4,690.1,692.1,774.2,1277.4,395.1,564.6,671.2,780.2,609.8,1015.2,1017.9,1152.4,904.7,1121.7
"18",1906-04-03,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,283.9,389.3,389.3,389.3,389.3,389.3,389.3,389.3,389.3,389.3,389.3,475.7,542.4,542.4,573.1,574.3,592.1,796.2,368.7,451,553.8,623.3,451,666.7,674.3,738.7,560.4,671.6
"19",1906-04-04,433.8,433.9,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,626,626,626,626,626,626,626,626,626,626,645,866.3,866.3,968.4,972.3,2017.4,1971.8,638.6,455.6,878.8,630.1,590.6,951.9,946.5,900.4,832,1066.1
"20",1906-04-05,286.3,286.4,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,286.3,484.4,378.6,378.6,378.6,378.6,484.4,484.4,484.4,484.4,484.4,484.4,484.4,484.4,484.4,484.4,595,709,709,761.9,763.4,1724.8,1792.8,386.9,491.1,705.8,687.7,556.7,1023.6,1023.8,1005.8,979.8,1182.2
"21",1906-04-06,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,519.6,431.1,431.1,431.1,431.1,555.5,519.6,519.6,534.3,519.6,534.3,534.3,534.3,534.3,534.3,595.8,782.1,782.1,731.2,1008.2,1306.3,1378.2,451.6,494.4,613.3,709.2,522.6,870.9,841.7,851.7,753,953.8
"22",1906-04-07,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,378.8,509.3,439.6,439.6,439.6,439.6,564.3,509.3,509.3,531.9,509.3,531.9,531.9,531.9,531.9,531.9,604.2,817.3,817.3,737.8,1097.1,1624,1746.4,520.3,564.2,618.7,757,534,1128.6,1065.7,1129.5,918.6,1049.4
"23",1906-04-08,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,349.9,402.7,374.5,374.5,374.5,374.5,431.1,402.7,402.7,414.3,402.7,414.3,414.3,414.3,414.3,414.3,726.2,755.3,755.3,655.5,882.4,1205.4,1282.4,460.9,596.1,562.5,683.4,574.3,988.4,968.6,1011.1,861.9,926.9
